product_code;active;name;price;vat;unit;category;producer;weight;stock;ean;delivery
SX-1578Z-CZERWONY;1;MERCEDES GL63 AMG  JEŻDZIK, PCHACZ, KARMIDEŁKO, BUJAK NA AKUMULATOR/1578Z;265.93;23;szt.;Pojazdy dla dzieci na akumulator i pedały;;11.5;0;;od 24  - 48 h
SX-1578Z-RÓŻOWY;1;MERCEDES GL63 AMG  JEŻDZIK, PCHACZ, KARMIDEŁKO, BUJAK NA AKUMULATOR/1578Z;265.93;23;szt.;Pojazdy dla dzieci na akumulator i pedały;;11.5;0;;od 24  - 48 h
WM-1122-CZARNY;1;MEGA WIELKI QUAD, KARBON, MIĘKKIE KOŁA, WOLNY START, GAZ W MANETCE/1122;1092.79;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;23.5;146;;od 24  - 48 h
DK-P01-PLASTIK-CZERWONY;1;FORD RANGER  JEŻDZIK, PCHACZ, KARMIDEŁKO,POJAZD NA AKUMULATOR, KOŁA EVA, MIĘKKIE SIEDZENIE/DKP01;364.08;23;szt.;Pojazdy dla dzieci na akumulator i pedały;;7.6;166;;od 24  - 48 h
DK-P01-BIAŁY;1;FORD RANGER  JEŻDZIK, PCHACZ, KARMIDEŁKO,POJAZD NA AKUMULATOR, KOŁA EVA, MIĘKKIE SIEDZENIE/DKP01;364.08;23;szt.;Pojazdy dla dzieci na akumulator i pedały;;7.6;87;;od 24  - 48 h
ST-4100-CZERWONY;1;MEGA WIELKI QUAD, METALOWA KONSTRUKCJA, AMORTYZATORY/4100;756.45;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;26;0;;od 24  - 48 h
DK-P01-CZARNY;1;FORD RANGER  JEŻDZIK, PCHACZ, KARMIDEŁKO,POJAZD NA AKUMULATOR, KOŁA EVA, MIĘKKIE SIEDZENIE/DKP01;364.08;23;szt.;Pojazdy dla dzieci na akumulator i pedały;;7.6;78;;od 24  - 48 h
DK-F650-CZARNY-PL;1;FORD F650 4X4 , 2x12V LICENCJA, PANEL MP4, MIĘKKIE KOŁA EVA, MIĘKKIE SIEDZENIE FULL OPCJA 12V/F650;1536.27;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;36;141;;od 24  - 48 h
DK-F650-BIAŁY-PL;1;FORD F650 4X4 , 24 V LICENCJA, MP4, MIĘKKIE KOŁA EVA, MIĘKKIE SIEDZENIE FULL OPCJA 12V/F650;1536.27;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;36;158;;od 24  - 48 h
DK-F650-CZERWONY-LAKIER;1;FORD F650 4X4, 24 V LICENCJA, MP4, MIĘKKIE KOŁA EVA, MIĘKKIE SIEDZENIE FULL OPCJA 12V/F650;1659.27;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;36;151;;od 24  - 48 h
HL-228-CZARNY-PL;1;MERCEDES GLS 63,  4 SILNIKI, 2X12 V, MIĘKKIE KOŁA, MIĘKKIE SIEDZENIE DLA 2 DZIECI/HL228;1266.78;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;34;0;;od 24  - 48 h
TABLICA-NAKLEJKA2;1;TABLICA REJESTRACYJNA DO POJAZDU - NAKLEJKA ;23.37;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;;255;;od 24  - 48 h
HL-228-BIAŁY-PL;1;MERCEDES GLS 63,  4 SILNIKI, 2X12 V, MIĘKKIE KOŁA, MIĘKKIE SIEDZENIE DLA 2 DZIECI/HL228;1322.25;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;34;0;;od 24  - 48 h
XMX-603-BIAŁY;1; MEGA AUTO BUGGI 4X4 , PANEL  MP4, MIĘKKIE KOŁA EVA, MIĘKKIE SIEDZENIE FULL OPCJA 2X 12V/XMX603;1297.65;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;38.5;0;;od 24  - 48 h
XMX-603-CZARNY;1; MEGA AUTO BUGGI 4X4 , PANEL  MP4, MIĘKKIE KOŁA EVA, MIĘKKIE SIEDZENIE FULL OPCJA 2X 12V/XMX603;1297.65;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;38.5;0;;od 24  - 48 h
XMX-603-CZERWONY;1; MEGA AUTO BUGGI 4X4 , PANEL  MP4, MIĘKKIE KOŁA EVA, MIĘKKIE SIEDZENIE FULL OPCJA 2X 12V/XMX603;1297.65;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;38.5;0;;od 24  - 48 h
HL-228-CZERWONY-LAKIER;1;MERCEDES GLS 63,  4 SILNIKI, 2X12 V, MIĘKKIE KOŁA, MIĘKKIE SIEDZENIE DLA 2 DZIECI/HL228;1397.28;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;34;155;;od 24  - 48 h
DK-P01-LAKIER-CZERWONY;1;FORD RANGER  JEŻDZIK, PCHACZ, KARMIDEŁKO,POJAZD NA AKUMULATOR, KOŁA EVA, MIĘKKIE SIEDZENIE LAKIEROWANY/DKP01;416.97;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;7.6;81;;od 24  - 48 h
BBH-3688-CZERWONY;1;  MEGA AUTO  BUGGY MOTOCROSS MIĘKKIE KOŁA EVA, MIĘKKIE SIEDZENIE FULL OPCJA /BBH3688;904.05;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;30;77;;od 24  - 48 h
XMX-606-LAKIER-CZARNY;1;MERCEDES X LICENCJA, -  4X4 , 2x12V  PANEL MP4, MIĘKKIE KOŁA EVA, MIĘKKIE SIEDZENIE, LAKIER POLEROWANY, FUNKCJA BUJANIA FULL OPCJA/XMX606;1640.64;23;szt.;Pojazdy dla dzieci na akumulator i pedały;Import SUPER-TOYS;32;;;
